Category,Street ID,Street Name,Context,Outcome Category,Outcome Date,Service,Location Subtype,ID,Persistent ID,Epoch,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location
Anti-social behaviour,960542,On or near Judd Street,,,,Police Force,,75265998,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,530076.239,182797.685,-0.126199,51.529117,This is only an approximation of where the crime happened,18/02/2021,"(51.529117, -0.126199)"
Anti-social behaviour,964967,On or near Barker Drive,,,,Police Force,,75266846,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529502.201,184061.663,-0.134005,51.540608,This is only an approximation of where the crime happened,18/02/2021,"(51.540608, -0.134005)"
Anti-social behaviour,964953,On or near Goldington Crescent,,,,Police Force,,75266847,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529513.203,183434.695,-0.134077,51.534971,This is only an approximation of where the crime happened,18/02/2021,"(51.534971, -0.134077)"
Anti-social behaviour,964980,On or near Bridgeway Street,,,,Police Force,,75266848,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529501.226,183188.697,-0.13434,51.532763,This is only an approximation of where the crime happened,18/02/2021,"(51.532763, -0.13434)"
Anti-social behaviour,964955,On or near Crowndale Road,,,,Police Force,,75266853,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529438.244,183467.723,-0.135145,51.535285,This is only an approximation of where the crime happened,18/02/2021,"(51.535285, -0.135145)"
Anti-social behaviour,964934,On or near Wrotham Road,,,,Police Force,,75266855,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529426.216,184189.692,-0.135053,51.541776,This is only an approximation of where the crime happened,18/02/2021,"(51.541776, -0.135053)"
Anti-social behaviour,964934,On or near Wrotham Road,,,,Police Force,,75266856,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529426.216,184189.692,-0.135053,51.541776,This is only an approximation of where the crime happened,18/02/2021,"(51.541776, -0.135053)"
Anti-social behaviour,964977,On or near Cranleigh Street,,,,Police Force,,75266857,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529442.242,183204.776,-0.135184,51.532921,This is only an approximation of where the crime happened,18/02/2021,"(51.532921, -0.135184)"
Anti-social behaviour,964974,On or near Purchese Street,,,,Police Force,,75266126,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529782.211,183205.773,-0.130285,51.532852,This is only an approximation of where the crime happened,18/02/2021,"(51.532852, -0.130285)"
Anti-social behaviour,960566,On or near Churchway,,,,Police Force,,75266127,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529818.245,182667.795,-0.129964,51.528009,This is only an approximation of where the crime happened,18/02/2021,"(51.528009, -0.129964)"
Anti-social behaviour,964955,On or near Crowndale Road,,,,Police Force,,75266852,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529438.244,183467.723,-0.135145,51.535285,This is only an approximation of where the crime happened,18/02/2021,"(51.535285, -0.135145)"
Anti-social behaviour,960547,On or near Grafton Place,,,,Police Force,,75266133,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529759.234,182673.743,-0.130812,51.528076,This is only an approximation of where the crime happened,18/02/2021,"(51.528076, -0.130812)"
Anti-social behaviour,960547,On or near Grafton Place,,,,Police Force,,75266134,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529759.234,182673.743,-0.130812,51.528076,This is only an approximation of where the crime happened,18/02/2021,"(51.528076, -0.130812)"
Anti-social behaviour,960547,On or near Grafton Place,,,,Police Force,,75266135,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529759.234,182673.743,-0.130812,51.528076,This is only an approximation of where the crime happened,18/02/2021,"(51.528076, -0.130812)"
Anti-social behaviour,960522,On or near Wellesley Place,,,,Police Force,,75266137,,06/01/2019 12:00:00 AM,E05000143,St Pancras and Somers Town,529707.225,182682.763,-0.131558,51.528169,This is only an approximation of where the crime happened,18/02/2021,"(51.528169, -0.131558)"
